Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2019-07-19,2019,WNBA,23:00,Seattle Storm F,Las Vegas Aces F,69.0,66.0,2.15,1.74,156.0,1.9,1.9,1.0,1.99,1.82
2019-07-19,2019,WNBA,20:30,Connecticut Sun F,Atlanta Dream F,98.0,69.0,1.2,4.75,147.5,1.9,1.9,-10.0,2.0,1.79
2019-07-20,2019,WNBA,21:00,Dallas Wings F,Phoenix Mercury F,66.0,70.0,2.05,1.8,144.5,1.9,1.9,1.0,1.95,1.86
2019-07-20,2019,WNBA,16:00,New York Liberty F,Los Angeles Sparks F,83.0,78.0,2.15,1.74,157.0,1.9,1.9,1.5,1.96,1.86
2019-07-21,2019,WNBA,16:00,Washington Mystics F,Atlanta Dream F,93.0,65.0,1.09,8.0,156.5,1.9,1.9,-13.5,1.9,1.9
2019-07-21,2019,WNBA,19:00,Las Vegas Aces F,Minnesota Lynx F,79.0,74.0,1.38,3.15,155.0,1.83,1.98,-6.0,1.9,1.9
2019-07-21,2019,WNBA,19:00,Chicago Sky F,Indiana Fever F,78.0,70.0,1.4,3.05,157.5,1.9,1.9,-5.5,1.9,1.9
2019-07-23,2019,WNBA,20:00,Atlanta Dream F,Los Angeles Sparks F,66.0,78.0,2.0,1.83,147.0,1.82,1.99,1.0,1.9,1.9
2019-07-23,2019,WNBA,23:00,Phoenix Mercury F,Indiana Fever F,95.0,77.0,1.4,3.1,149.0,1.83,1.98,-6.5,1.99,1.82
2019-07-23,2019,WNBA,23:00,Las Vegas Aces F,Seattle Storm F,79.0,62.0,1.44,2.85,152.5,1.83,1.97,-6.0,1.9,1.9
2019-07-24,2019,WNBA,12:30,Connecticut Sun F,New York Liberty F,70.0,63.0,1.2,4.75,159.0,1.9,1.9,-10.0,1.99,1.82
2019-07-24,2019,WNBA,14:00,Minnesota Lynx F,Washington Mystics F,71.0,79.0,2.8,1.45,159.0,1.9,1.9,2.5,1.9,1.9
2019-07-27,2019,WNBA - ALL-STARS - FINAL,16:30,Team Wilson F,Team Delle Donne F,129.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-30,2019,WNBA,23:00,Las Vegas Aces F,Dallas Wings F,86.0,54.0,1.11,6.75,149.5,1.82,1.99,-13.5,1.9,1.9
2019-07-30,2019,WNBA,20:00,Washington Mystics F,Phoenix Mercury F,99.0,93.0,1.16,5.5,156.5,1.8,1.99,-11.0,2.0,1.81
2019-07-30,2019,WNBA,20:00,Connecticut Sun F,Chicago Sky F,100.0,94.0,1.33,3.4,157.5,1.9,1.9,-8.0,2.0,1.79
2019-07-31,2019,WNBA,20:00,Indiana Fever F,Atlanta Dream F,61.0,59.0,1.45,2.8,151.0,1.9,1.9,-5.5,1.96,1.86
2019-08-01,2019,WNBA,20:00,Connecticut Sun F,Phoenix Mercury F,68.0,62.0,1.3,3.65,153.0,1.9,1.9,-8.0,1.99,1.82
2019-08-01,2019,WNBA,21:00,Dallas Wings F,New York Liberty F,87.0,64.0,1.8,2.05,149.5,1.81,2.0,-1.5,1.9,1.9
2019-08-01,2019,WNBA,23:00,Los Angeles Sparks F,Las Vegas Aces F,76.0,68.0,1.83,2.0,154.0,1.83,2.0,-2.0,1.95,1.86
2019-08-02,2019,WNBA,23:00,Seattle Storm F,Washington Mystics F,79.0,99.0,2.8,1.45,158.0,1.83,1.99,4.5,1.9,1.9
2019-08-03,2019,WNBA,20:00,Indiana Fever F,Minnesota Lynx F,86.0,75.0,2.35,1.64,149.5,1.82,2.01,2.5,1.95,1.86
2019-08-03,2019,WNBA,20:00,Atlanta Dream F,Chicago Sky F,75.0,87.0,2.6,1.55,154.5,1.9,1.9,3.0,1.9,1.9
2019-08-03,2019,WNBA,21:00,Dallas Wings F,Las Vegas Aces F,70.0,75.0,2.7,1.5,144.0,1.81,1.98,3.5,1.95,1.86
2019-08-04,2019,WNBA,16:00,New York Liberty F,Connecticut Sun F,79.0,94.0,3.1,1.4,157.0,1.83,1.97,5.0,1.95,1.86
2019-08-04,2019,WNBA,18:00,Los Angeles Sparks F,Seattle Storm F,83.0,75.0,1.45,2.8,147.0,1.81,1.98,-6.5,1.9,1.9
2019-08-04,2019,WNBA,19:00,Phoenix Mercury F,Washington Mystics F,103.0,82.0,3.65,1.3,159.0,1.8,1.99,6.0,1.9,1.9
2019-08-05,2019,WNBA,23:00,Las Vegas Aces F,Washington Mystics F,70.0,99.0,0.0,0.0,164.5,1.9,1.9,-1.5,1.9,1.9
2019-08-06,2019,WNBA,20:00,Atlanta Dream F,Minnesota Lynx F,69.0,85.0,2.75,1.47,144.0,1.9,1.9,4.0,1.95,1.86
2019-08-07,2019,WNBA,21:00,Chicago Sky F,New York Liberty F,101.0,92.0,1.31,3.6,163.5,1.9,1.9,-8.0,1.9,1.9
2019-08-08,2019,WNBA,23:00,Seattle Storm F,Dallas Wings F,69.0,57.0,1.22,4.5,145.0,1.83,1.97,-10.0,1.98,1.83
2019-08-08,2019,WNBA,23:00,Los Angeles Sparks F,Phoenix Mercury F,84.0,74.0,1.4,3.1,151.0,1.81,1.98,-7.0,1.98,1.83
2019-08-08,2019,WNBA,20:00,Washington Mystics F,Indiana Fever F,91.0,78.0,1.08,8.5,163.0,1.81,1.98,-13.5,1.94,1.9
2019-08-09,2019,WNBA,21:00,Minnesota Lynx F,Connecticut Sun F,89.0,57.0,2.35,1.64,153.0,1.9,1.9,1.5,1.9,1.9
2019-08-09,2019,WNBA,23:30,Las Vegas Aces F,Chicago Sky F,84.0,87.0,1.32,3.5,163.5,1.83,2.0,-7.5,1.96,1.84
2019-08-10,2019,WNBA,16:00,Indiana Fever F,Atlanta Dream F,87.0,82.0,1.33,3.4,150.0,1.83,1.98,-7.0,1.95,1.86
2019-08-10,2019,WNBA,23:00,Phoenix Mercury F,Dallas Wings F,77.0,80.0,1.22,4.5,144.5,1.84,1.97,-9.5,1.95,1.86
2019-08-11,2019,WNBA,16:00,Washington Mystics F,Minnesota Lynx F,101.0,78.0,1.23,4.25,159.0,1.83,1.97,-9.0,1.95,1.86
2019-08-11,2019,WNBA,16:00,New York Liberty F,Seattle Storm F,69.0,84.0,2.6,1.55,153.5,1.82,1.99,3.5,1.9,1.9
2019-08-11,2019,WNBA,18:00,Los Angeles Sparks F,Chicago Sky F,84.0,81.0,1.32,3.5,158.5,1.83,1.98,-7.0,1.96,1.86
2019-08-11,2019,WNBA,19:00,Las Vegas Aces F,Connecticut Sun F,89.0,81.0,1.62,2.4,158.5,1.81,1.95,-3.5,1.99,1.82
2019-08-13,2019,WNBA,20:00,New York Liberty F,Minnesota Lynx F,73.0,89.0,3.0,1.41,156.0,1.83,2.0,5.5,1.9,1.9
2019-08-13,2019,WNBA,23:00,Las Vegas Aces F,Atlanta Dream F,94.0,90.0,1.08,8.5,152.0,1.88,1.94,-13.0,1.95,1.86
2019-08-14,2019,WNBA,23:00,Phoenix Mercury F,Connecticut Sun F,71.0,78.0,3.65,1.3,151.5,1.9,1.9,4.5,1.95,1.86
2019-08-14,2019,WNBA,21:00,Dallas Wings F,Los Angeles Sparks F,84.0,78.0,0.0,0.0,146.5,1.9,1.9,5.5,1.9,1.9
2019-08-14,2019,WNBA,21:00,Washington Mystics F,Seattle Storm F,88.0,59.0,1.22,4.5,160.0,1.9,1.9,-10.0,1.9,1.9
2019-08-16,2019,WNBA,20:30,Connecticut Sun F,Seattle Storm F,79.0,78.0,1.34,3.35,148.5,1.9,1.9,-7.5,1.9,1.9
2019-08-16,2019,WNBA,21:00,Minnesota Lynx F,Washington Mystics F,79.0,86.0,3.2,1.37,161.5,1.83,1.98,5.0,1.9,1.9
2019-08-16,2019,WNBA,21:00,Dallas Wings F,New York Liberty F,83.0,77.0,1.55,2.6,150.5,1.81,2.0,-5.0,1.95,1.86
2019-08-16,2019,WNBA,21:00,Chicago Sky F,Los Angeles Sparks F,91.0,81.0,2.05,1.8,161.5,1.9,1.9,-1.5,1.9,1.9
2019-08-16,2019,WNBA,23:00,Phoenix Mercury F,Atlanta Dream F,77.0,68.0,1.6,2.45,147.5,1.86,1.95,-5.5,1.9,1.9
